Job ID,Job Title,Job URL,Diversity Job,Employer,Location,Salary,Date Posted,Description,Position Type 0.0,Position Type 0.1,Position Type 0.2,Position Type 0.3,Position Type 0.4,Position Type 0.5,Position Type 0.6,Position Type 0.7,Position Type 0.8,Position Type 0.9,Position Type 1.0,Position Type 1.1,Position Type 1.2,Position Type 1.3
375792,Assistant Professor of Counseling Psychology,https://jobs.chronicle.com/job/375792/assistant-professor-of-counseling-psychology/,False,"University of Tennessee, Knoxville","Tennessee, United States",Competitive Salary,2021-08-31,"
The Department of Psychology at the University of Tennessee,
Knoxville, invites applications for a tenure-track Assistant
Professor position in Counseling Psychology. The Counseling
Psychology Program is the first APA-accredited
Scientist-Practitioner-Advocate training program and was
reaccredited under this training model in 2016. We are interested
in candidates who will contribute to our program’s emphasis on
social justice advocacy and multicultural psychology. This position
will begin August 1, 2022. The Department has three Ph.D.
programs (Clinical, Counseling, and Experimental) and comprises
34 tenure-track faculty. The Counseling Psychology program
consists of six full-time core faculty members. Information about
the Department and the Counseling Psychology program is online at
http://psychology.utk.edu.
Applicants must have a Ph.D. from an APA-accredited Counseling
Psychology program or a closely related field, published research
in peer-reviewed journals, enthusiasm for teaching at the graduate
and undergraduate levels, potential for extramural research
funding, and be license-eligible as a psychologist in the state of
Tennessee. Preference will be given to applicants whose area of
research focuses on race and racism, with teaching interests in
social justice advocacy, multicultural psychology, and/or
practicum.
The Knoxville campus of the University of Tennessee is seeking
candidates who have the ability to contribute in meaningful ways to
the diversity and intercultural goals of the University. Women and
minorities are especially encouraged to apply. 
Qualifications
Applicants should have met all requirements for a Ph.D. prior to
the start date, a strong research record, enthusiasm for teaching
at the graduate and undergraduate level, strong potential for
extramural research funding, and be license-eligible as a
psychologist in the state of Tennessee.
Application Instructions
Applicants should submit the following materials: 1) cover
letter and curriculum vita, 2) research statement, 3) teaching
statement and evidence of teaching effectiveness such as course
evaluations and/or recent syllabi, 4) statement on diversity and
social justice, 5) up to 3 representative publications, and 6)
three confidential letters of recommendation.  All materials
should be submitted to Interfolio. Review of applications will
begin immediately and will continue until the position is filled.
Please submit your application by October 1, 2021 to ensure full
consideration.
Equal Employment Opportunity Statement
All qualified applicants will receive equal consideration for
employment and admission without regard to race, color, national
origin, religion, sex, pregnancy, marital status, sexual
orientation, gender identity, age, physical or mental disability,
genetic information, veteran status, and parental status, or any
other characteristic protected by federal or state law. In
accordance with the requirements of Title VI of the Civil Rights
Act of 1964, Title IX of the Education Amendments of 1972, Section
504 of the Rehabilitation Act of 1973, and the Americans with
Disabilities Act of 1990, the University of Tennessee affirmatively
states that it does not discriminate on the basis of race, sex, or
disability in its education programs and activities, and this
policy extends to employment by the university. Inquiries and
charges of violation of Title VI (race, color, and national
origin), Title IX (sex), Section 504 (disability), the ADA
(disability), the Age Discrimination in Employment Act (age),
sexual orientation, or veteran status should be directed to the
Office of Equity and Diversity, 1840 Melrose Avenue, Knoxville, TN
37996-3560, telephone 865-974-2498. Requests for accommodation of a
disability should be directed to the ADA Coordinator at the Office
of Equity and Diversity.
",Faculty Positions,Social & Behavioral Sciences,Psychology,,,,,,,,,,,
375762,Assistant Professor of Communication - Health Disparities and/or Implicit Bias,https://jobs.chronicle.com/job/375762/assistant-professor-of-communication-health-disparities-and-or-implicit-bias/,False,The Ohio State University School of Communication,"Ohio, United States",Salary Commensurate with experience,2021-08-31,"
Department:   School of Communication
Position: 
       Health Disparities and/or
Implicit Bias
Rank: 
           
Assistant Professor
 
Description:
 
The School of Communication at The Ohio State University invites
applicants for a 9-month full time tenure-track assistant professor
position to teach in the area of health disparities and/or implicit
bias beginning in August 2022. The successful applicant will
conduct research and teach courses in areas that complement the
school’s leadership in the social scientific study of
communication. We are working to build diversity, equity, and
inclusion into all facets of our work, and the colleague we hire
will help us advance these efforts in our research, teaching, and
engagement. Our goal is to promote diversity in our professorial
ranks, foster an inclusive university community, and establish a
community across the College of Arts and Sciences that will provide
support for a diverse group of faculty and students.
 
The School of Communication (http://comm.osu.edu/) is consistently
ranked among the top programs in the field, and our faculty is
committed to making original and substantively important
contributions to empirical social scientific research on
communication processes, basic or applied. A demonstrated record of
publications showing productivity and strong journal placement is
essential. Experience with external funding is also a plus. We seek
colleagues who will help us advance research projects and courses
that will be attractive to graduate and undergraduate students in
the major, while also speaking to the interests and needs of
non-majors.
 
Qualifications:
 
Candidate must be trained in communication or a closely aligned
field and show promise of developing a national and international
reputation doing theory-based and empirical research. Successful
candidates will have a Ph.D. or be on schedule to earn a Ph.D.
prior to August 2022. If the degree requirement is not met, the
appointment will be as an instructor for up to one academic year.
Applicants should have a demonstrated record of publication in
peer-reviewed journals as well as evidence of effective teaching.
Appointment is contingent on the university’s verification of
credentials and other information required by law and/or university
policies, including but not limited to a criminal background
check.
 
About Columbus:
 
The Ohio State University campus is located in Columbus, the
capital city of Ohio. Columbus is the Midwest’s fastest-growing
city and the nation’s 14th largest city. Columbus offers a diverse
array of welcoming neighborhoods and a vibrant arts and culture
scene. Additional information about all that the Columbus area has
to offer is available at https://visit.osu.edu/experience.
 
Application Instructions:
 
Apply to Academic Jobs Online at: https://academicjobsonline.org/ajo/jobs/19327.
A complete application consists of a cover letter, curriculum
vitae, research and teaching statements, a diversity statement
providing evidence of commitment to diversity, equity, and
inclusion through research, teaching and/or engagement, and the
names of three references. Review of applications will begin on
October 15, 2021 and will continue until the position is filled.
Interviews may be conducted either in person or remotely, depending
on pandemic conditions and the applicant’s preference. Inquiries
may be directed to the search co-chair, Dr. Osei Appiah (Appiah.2@osu.edu) or Dr. Amy
Nathanson (Nathanson.7@osu.edu).
 
The Ohio State University is committed to establishing a
culturally and intellectually diverse environment, encouraging all
members of our learning community to reach their full
potential. Over the next few years, The Ohio State University
is committed to welcoming 350 new faculty hires, many of which will
contribute to growing our role as a premier research university
equipped to answer and interrogate the critical domestic and global
societal challenges that deter equality and inclusion. We are
responsive to dual-career families and strongly promote work-life
balance to support our community members through a suite of
institutionalized policies. The university is a member of the
Ohio/Western Pennsylvania/West Virginia Higher Education
Recruitment Consortium (HERC).
The Ohio State University is an equal opportunity employer.
All qualified applicants will receive consideration for employment
without regard to race, color, religion, sex, sexual orientation or
identity, national origin, disability status, or protected veteran
status.
",Faculty Positions,Communications,Other Communications,Social & Behavioral Sciences,Other Social & Behavioral Sciences,,,,,,,,,
375551,Founding Dean - School of Counseling,https://jobs.chronicle.com/job/375551/founding-dean-school-of-counseling/,False,Asbury Theological Seminary,"Kentucky, United States",Salary Commensurate with experience,2021-08-31,"
Founding Dean – School of Counseling
Asbury Theological Seminary announces a
search for an accomplished, innovative, evangelical professor,
visionary leader, effective administrator, and collaborative
educator to serve as the Founding Dean of a new School of
Counseling. Asbury Seminary’s counseling department programs in
Mental Health (CACREP-accredited) and Pastoral Counseling have
doubled in enrollment over the last five years and its program in
Marriage and Family Counseling is currently applying for CACREP
accreditation. The Seminary recently opened the Van Tatenhove
Center for Counseling that provides services for students while
offering supervised counseling internships on the Wilmore, Kentucky
campus. A new Kentucky counseling center building location will be
dedicated and opened in 2021 or 2022.
The Founding Dean will contribute to and implement the strategic
vision for the new School of Counseling, including posturing the
Seminary for evangelical and Wesleyan counseling leadership,
resourcing, and networking. The Dean will collaboratively engage
with both missional and strategic enrollment planning for the
School of Counseling.
The counseling faculty deliver courses in multiple formats,
including in-person, hybrid, and/or intensive courses and online.
(The Seminary anticipates applying for accreditation of an online
degree in 2022.) Counseling and pastoral care courses are located
at the Seminary’s Kentucky and Asbury Global sites (currently the
Orlando School of Ministry, Tulsa, Memphis, and Colorado
Springs).
The Founding Dean will serve on the Seminary’s Academic Council
and will guide
the design, timing, vision, and implementation of the new School of
Counseling by no later than 2023, in collaboration with the faculty
and Provost.
The Founding Dean appointment and required residential
living requirement will be in the Wilmore/Lexington (Kentucky)
area. She or he will qualify for regular, full
faculty rank and identify either as a pastoral counselor or a
counselor educator. This is a tenure track
position. The preferred starting date is July 1, 2021,
but is negotiable.
 
To serve as a CACREP core faculty, candidates must have
completed the Ph.D. or comparable degree in Counselor Education and
Supervision, preferably from a CACREP-accredited program.
Candidates must be Licensed Professional Counselors/Licensed
Clinical Mental Health Counselors or be license eligible as
professional counselors within their state of residence.
Alternatively, candidates with related doctoral degrees must have
been employed as full-time faculty members in a counselor education
program for a minimum of one full academic year before July 1, 2013
(CACREP 2016 Standards Section 1.W).
Preferred candidates will demonstrate a strong commitment to the
integration of counseling and the Christian faith within the
Wesleyan theological tradition. They will model academic leadership
within the Department of Counseling and Pastoral Care, including
knowledge of CACREP standards and the process of preparing CACREP
self-studies, excellence in teaching and supervision, and
scholarship in counseling, counselor education, and supervision or
pastoral counseling.
Candidates who identify as Pastoral Counselors are categorized
as non-core CACREP faculty. Asbury Seminary faculty are eligible to
apply for a one-semester sabbatical leave every 3 years to assist
with scholarly productivity, service to the Seminary and the
church, and to respond to global needs related to counseling,
counselor education, and supervision. Veterans, individuals with
disabilities, women, and all minority and diversity candidates are
strongly encouraged to apply.
Asbury Theological Seminary is a confessional seminary in the
Wesleyan tradition. Unqualified and enthusiastic agreement with the
Seminary’s confessional Statement of Faith, Mission, Strategic
Vision, Collegial Faculty Covenant, Code of Institutional Values
and Conduct, and Ethos statement is required.https://asburyseminary.edu/about/
For information on additional counseling area postings,
see:
ATS Employment
Archive. ALL APPLICANTS MUST APPLY HERE TO BE
CONSIDERED FOR EMPLOYMENT.
Nominations or questions may be addressed to:
Dean of the Beeson School of Practical Theology
Attention: Founding Dean, School of Counseling Search
Asbury Theological Seminary
204 North Lexington Avenue
Wilmore, KY 40390
Jennifer.Miller@asburyseminary.edu
 Materials will be
reviewed until the position is filled.
",Faculty Positions,Education,Counsellor Education,,,,,,,,,,,
375664,"Assistant, Associate or Full Professor - Statistics",https://jobs.chronicle.com/job/375664/assistant-associate-or-full-professor-statistics/,False,Baruch College,"New York, United States",Salary Not specified,2021-08-31,"
Job Description:
The largest accredited collegiate school of business in the
United States, Baruch College's Zicklin School of Business has
earned a national and international reputation for excellence. It
offers nationally ranked undergraduate, part-time and full-time MBA
programs, specialized masters, and doctoral programs. The Paul H.
Chook Department of Information Systems and Statistics offers
undergraduate majors and minors in Information Systems (IS) and in
Statistics and Quantitative Modeling (SQM), three specialized MS
degrees in IS, Statistics, and Quantitative Methods and Modeling
and a PhD in IS. It also provides courses for an MS in Business
Analytics and the MBA program. Faculty members are active in
research and have been published in the top journals including
Journal of the American Statistical Association, Annals of
Statistics, and Biometrika, among others. The department strongly
supports and is committed to fostering diversity among faculty,
staff, and students, with respect to race, gender, national origin,
sexual orientation, military veteran status, and persons with
disabilities, among others. Please see the Zicklin School website
for further information on the department (http://zicklin.baruch.cuny.edu).

The Zicklin School of Business at Baruch College, City University
of New York is seeking applicants for a full-time tenure track
faculty position in the Paul H. Chook Department of Information
Systems and Statistics. The position is open at all ranks
(Assistant Professor, Associate Professor, or Full Professor) and
begins in the Fall 2022 semester.  Applicants must have
demonstrable skills and interest in statistics, machine learning,
or information theory, with an emphasis on massive or high
dimensional data or, more generally, data science. Applicants must
also demonstrate good teaching ability and be able to develop and
teach courses in data science (on topics such as Data Mining,
Machine Learning, and Big Data Analytics, among others). They will
be expected to do the following: Perform teaching, research, and
guidance duties in area(s) of expertise and share responsibility
for committee and department assignments including administrative,
supervisory, and other functions.
 
Compensation and
Benefits:                
                              

CUNY offers faculty a competitive compensation and benefits package
covering health insurance, pension and retirement benefits, paid
parental leave, and savings programs.  We also provide
mentoring and support for research, scholarship, and publication as
part of our commitment to ongoing faculty professional
development.
Qualifications:
Applicants must have a Ph.D. in Statistics or related fields by
the time of appointment. Depending on their rank, they should have
a proven record (for Associate or Full) or the potential (for
Assistant) for high quality scholarly research leading to
publications in premier peer-reviewed journals in Statistics. They
must also have demonstrable skills and interest in statistics,
machine learning, or information theory, with an emphasis on
massive or high dimensional data or, more generally, data science.
Applicants must also demonstrate good teaching ability and be able
to develop and teach courses in data science (on topics such as
Data Mining, Machine Learning, and Big Data Analytics, among
others). Applicants at the Associate or Full Professor levels, must
also have a record of service to their current or previous
institutions.

How to Apply: 
STEP ONE - Click ""Apply Now""
Go to the CUNY website http://www.cuny.edu/employment.html to
see the complete position description and job requirements in
CUNYfirst under Job Opening ID #22742. 
You can view and apply for this job in CUNYfirst via the following
direct link to the posting.
https://bit.ly/3DznsMG​
Candidates should provide a cover letter, a current CV, a
research/teaching statement, a sample research paper, three
reference letters, and student course evaluations if
available.  Candidates must also provide a diversity statement
on how they view diversity in the workplace and how they have
worked in the past or plan to work in the future to support a
diverse workplace and classroom.

STEP TWO - Go to https://www.baruch.cuny.edu/hrref/  

All applicants are required to have three confidential letters of
recommendation submitted electronically by their references as
described below. 

Please go to https://www.baruch.cuny.edu/hrref/ and
enter the contact information for three (3) references. The online
system will automatically send your references a request to submit
a letter via the system. Full instructions will be
provided. 

Emailed or hard copy applications will not be considered.
Closing Date:  
Applications will be accepted until September 30th, 2021
 
EEO Statement:        
               
CUNY encourages people with disabilities, minorities, veterans
and women to apply.  At CUNY, Italian Americans are also
included among our protected groups.  Applicants and employees
will not be discriminated against on the basis of any legally
protected category, including sexual orientation or gender
identity. EEO/AA/Vet/Disability Employer.
",Faculty Positions,"Science, Technology & Mathematics",Statistics,,,,,,,,,,,
375665,"Support Coach, Center for Male Engagement (3 Positions Available)",https://jobs.chronicle.com/job/375665/support-coach-center-for-male-engagement-3-positions-available-/,False,Community College of Philadelphia,"Pennsylvania, United States",Salary Not specified,2021-08-31,"

Community College of Philadelphia


General Description

The Center for Male Engagement (CME) is a college-wide initiative
designed to increase the retention and graduation rates of male
students of color at the College through intentional, coordinated
and culturally responsive programming. The CME Support Coach will
provide a broad range of services, including, but not limited to,
ongoing case management, academic support, career and leadership
development, life skills, and cultural enrichment activities to
facilitate the academic and personal success of its diverse
participants.


Specific Responsibilities

Assist in the recruitment, enrollment, and orientation of
student participants in the program.






Manage a cohort of students and monitor students' retention and
academic progress based on individualized academic, career, and
financial plans.




Screen and direct students to appropriate departments regarding
enrollment and financial aid, academic counseling and advisement,
basic needs and other social supports, transfer options including
dual admission, and graduation processes.




Assist in the screening of social services needs and ensure
that students are referred to appropriate support services, as
needed.




Coordinate the delivery of academic support, career
development, leadership development, and life skills
workshops.




Assist in daily data collection, assessment of program
activities, and bi-annual performance reports.




Collaborate with faculty to provide real-time academic and
social support for program participants.




Collaborate with other student support services to develop and
implement programming leading to increased student retention and
academic outcomes.




Collaborate with external community-based organizations to
recruit prospective students, cultivate partnerships, and provide
effective services to prospective participants.




Facilitate professional development trainings related to
evidence-based practices for supporting male students of color in
higher education.




Maintain sensitivity, understanding, and respect for a diverse
academic environment, inclusive of students, faculty, and staff of
varying racial/ethnic, economic, gender (identity), sexual
orientation, religious backgrounds and disabilities.




Deliver quality customer service to both internal and external
constituents in a professional and courtesy manner.




Perform assigned duties in a manner consistent with the mission
and core values of the College.




Perform other duties as assigned.





Minimum Qualifications

Bachelor's degree in student personnel, social services, higher
education leadership or related field required. Any and all degrees
must be from a recognized institutional accreditor.







Two (2) years direct experience working in an education or
social service environment along with experience working with
underrepresented and culturally diverse populations required.





Proficiency with Microsoft Office applications including Word
and Excel required.





Demonstrated competency in organizing data, maintaining files,
and preparing reports required.





Demonstrated ability to develop and implement programming
leading to increased retention and academic outcomes required.





Excellent interpersonal, verbal and written communication
skills to effectively interact with individuals from diverse
backgrounds required.





Exceptional organization and planning skills required.





Excellent group facilitation and presentation skills
required.





Ability to collaborate with others required.






Preferred Qualifications

Master's degree preferred.






Experience working in a higher education setting
preferred.




Familiarity with integrated management software such as Banner,
CANVAS, Starfish, Engage, and Canva as well as social media
platforms preferred.



Work Location
Main Campus

Special Instructions to Applicants

Interested persons should complete an online application
 Cover letter of interest and resume REQUIRED

*Names and contact information of 3 professional references
OPTIONAL Applicants must be legally eligible to work in the
U.S.

Review of applications will commence on September 13, 2021 and will
continue until the position is filled.

Community College of Philadelphia is an Affirmative Action, Equal
Opportunity, and Equal Access Employer. The College encourages
applications from individuals from traditionally underrepresented
groups.


Salary Grade or Rank
1

Salary Range
Salary is commensurate with relevant experience

Job Posting Open Date
08/30/2021

Type of Position
Administrator

Employment Status
Full-Time

Supplemental Questions
Required fields are indicated with an asterisk (*).

* How did you hear about Community College of Philadelphia?

CareerBuilder.com
Higheredjobs.com
LinkedIn
The Chronicle
Veterans Job Fair
Professional & Technology Diversity Career Fair
AL DIA - Diversity Career Fair
Community College of Philadelphia Website
Indeed.com
Other


* If your answer to the above question is Other, please note
the source below. If this question does not apply to you, enter
N/A.
(Open Ended Question)
* What is the highest level of education you have completed?

No Response
High School/GED
Associates Degree
Bachelor's Degree
Master's Degree
Doctorate
Other


* Do you have two (2) years direct experience working in an
education or social service environment along with experience
working with culturally diverse populations?

Yes
No


* Do you proficiency in Microsoft Word and Excel?

Yes
No


* Do you have previous experience working in higher education?

Yes
No


* Are you familiar with integrated management software such as
Banner, CANVAS, Starfish, Engage, and Canva as well as other media
platforms?

Yes
No


* Do you have excellent facilitation and presentation skills?

Yes
No



Documents Needed to ApplyRequired Documents

Resume
Cover Letter/Letter of Application

Optional Documents

References

PI145378934
",Faculty Positions,Professional Fields,Other Professional Fields,,,,,,,,,,,
375675,Instructor/Special Projects Coordinator,https://jobs.chronicle.com/job/375675/instructor-special-projects-coordinator/,False,Murray State University,"Kentucky, United States",Salary Commensurate with experience,2021-08-31,"


Women and minorities are encouraged to apply.  Murray State
University is an equal education and employment opportunity, M/F/D,
AA employer.
				",Administrative,Academic Affairs,Adult & Continuing Education Programs,Other Academic Affairs,Student Affairs,Other Student Affairs,Faculty Positions,Education,Curriculum & Instruction,Other Education,,,,
375695,Assistant Professor of Social Work,https://jobs.chronicle.com/job/375695/assistant-professor-of-social-work/,False,Oakland University,"Michigan, United States",Salary Not specified,2021-08-31,"
					The Department of Sociology, Anthropology, Social Work, &
Criminal Justice invites applications for a full-time, tenure-track
Assistant Professor of Social Work position to begin August 15,
2022 to support our newly established MSW program along with our
existing BSW Program. We are looking for candidates who have the
potential to teach courses across a generalist and advanced
generalist of both the MSW and BSW curriculum social welfare
policy, and practice courses. Candidates should also be able to
demonstrate success with scholarship and articulate a clear
research agenda. Oakland University's Social Work program values
diversity and issues related to social justice, therefore, we are
seeking a candidate who is well-equipped to infuse diversity and
related advocacy content in teaching, research, and service
activities.MSW from an accredited social work program, 2 years
post-MSW practice experience, and a PhD in Social Work or closely
related field. Will consider ABD with proof of completion by Aug
15, 2022
PI145392144
",Faculty Positions,Professional Fields,Social Work & Human Services,,,,,,,,,,,
375708,Tenure-Track Assistant Professor of English - Creative Writing (Poetry),https://jobs.chronicle.com/job/375708/tenure-track-assistant-professor-of-english-creative-writing-poetry-/,False,Carnegie Mellon University,"Pennsylvania, United States",Salary Not specified,2021-08-31,"
The Creative Writing Program in the Department of English at
Carnegie Mellon University invites applications for a tenure-track
Assistant Professor with a specialization in Creative Writing
(Poetry), to begin Fall 2022. The successful candidate will
demonstrate a strong track record of publication as well as the
ability to teach a variety of courses in poetry at the
undergraduate level, including an introduction to poetic form and
technique, beginning and advanced poetry workshops, and readings in
poetry. The successful candidate will be engaged in helping to
sustain, and to continue to develop, a top-ranked writing program.
We thus seek a candidate with experience working in diverse
undergraduate communities with a commitment to adaptive and
inclusive teaching strategies. We are especially interested in
qualified candidates who can contribute, through their research,
teaching, and/or service, to the diversity and excellence of the
academic community. We strongly encourage applications from
minority candidates. Those with additional specializations in other
creative genres are especially encouraged to apply.
The qualified applicant will have a terminal degree in Creative
Writing (MFA or PhD), and a substantial publication record,
including at least one collection of poetry, as well as
demonstrated excellence in teaching at the undergraduate level. The
Department is committed to diversity, equity, and inclusion, and
particularly invites applications from under-represented
communities.
Nine-month, tenure-track Assistant Professor position. The
teaching load is 2/2.
Application Instructions
To be considered for this position, please submit your
application online through Interfolio by October 1, 2021. http://apply.interfolio.com/88810
",Faculty Positions,Humanities,English & Literature,Other Humanities,,,,,,,,,,
375740,Baruch College - Assistant Professor - Psychology,https://jobs.chronicle.com/job/375740/baruch-college-assistant-professor-psychology/,False,Baruch College,"New York, United States",Competitive Salary,2021-08-31,"
Baruch College – Assistant Professor –
Psychology
Job Description:
The Department of Psychology in the Weissman School of Arts and
Sciences at Baruch College of the City University of New York
(CUNY) invites applications for a tenure-track faculty position at
the Assistant Professor Level to begin August 2022. The position
will conduct programmatic research in industrial and organizational
psychology in addition to teaching duties. The successful candidate
will be expected to teach courses at the undergraduate, masters and
PhD levels, mentor undergraduate and graduate students, and engage
in a productive program of research with the potential for top tier
publications in industrial and organizational psychology and
external funding. All areas of research in IO psychology will be
considered, but research focusing on topics related to diversity,
equity, and inclusion will be preferred. More information about the
industrial and organizational psychology program can be found
at: https://www.iopsych-baruch.com/

The Baruch College Psychology Department houses undergraduate
psychology programs, a masters program in industrial and
organizational psychology as well as CUNY's doctoral program in
industrial and organizational psychology. Baruch College is ideally
situated in the historic Gramercy Park area of Manhattan, offering
many professional and personal opportunities and easy access to
global resources in the world of business and research as well as
New York 's world class cultural attractions.
 
Compensation and
Benefits:                
                              

CUNY offers faculty a competitive compensation and benefits package
covering health insurance, pension and retirement benefits, paid
parental leave, and savings programs.  We also provide
mentoring and support for research, scholarship, and publication as
part of our commitment to ongoing faculty professional
development.


Qualifications: 
Ph.D. degree in industrial or organizational psychology. Also
required are the ability to teach successfully, demonstrated
scholarship or achievement, and ability to cooperate with others
for the good of the institution.

The successful candidate will have earned a doctorate in industrial
and organizational psychology, by August 25, 2022.

- How to Apply: 
STEP ONE - Click ""Apply Now""
Go to the CUNY website http://www.cuny.edu/employment.html to
see the complete position description and job requirements in
CUNYfirst under Job Opening ID #22604. 
You can view and apply for this job in CUNYfirst via the following
direct link to the posting.

https://home.cunyfirst.cuny.edu/psp/cnyepprd/GUEST/HRMS/c/HRS_HRAM.HRS_CE.GBL?Page=HRS_CE_JOB_DTL&Action=A&JobOpeningId=22604&SiteId=1&PostingSeq=1.
Candidates should provide a cover letter and a CV, a statement of
educational philosophy, a statement of teaching objectives, a
statement of research plans, no more than 5 publication reprints
(including papers in press or in preparation), three letters of
reference, and any other relevant materials.

STEP TWO - Go to https://www.baruch.cuny.edu/hrref/  

All applicants are required to have three confidential letters of
recommendation submitted electronically by their references as
described below. 

Please go to https://www.baruch.cuny.edu/hrref/ and
enter the contact information for three (3) references. The online
system will automatically send your references a request to submit
a letter via the system. Full instructions will be
provided. 

Emailed or hard copy applications will not be considered.
Closing Date:  
Review of resumes begins on October 11, 2021; to ensure
consideration, please apply by
October 10, 2021.
  
EEO
Statement:         
              
CUNY encourages people with disabilities, minorities, veterans
and women to apply.  At CUNY, Italian Americans are also
included among our protected groups.  Applicants and employees
will not be discriminated against on the basis of any legally
protected category, including sexual orientation or gender
identity. EEO/AA/Vet/Disability Employer.
",Faculty Positions,Social & Behavioral Sciences,Psychology,,,,,,,,,,,
375684,Assistant Professor of Film Studies and Production - Filmmaking/Animation,https://jobs.chronicle.com/job/375684/assistant-professor-of-film-studies-and-production-filmmaking-animation/,False,Oakland University,"Michigan, United States",Salary Not specified,2021-08-31,"
					The Department of English at Oakland University invites
applications for a tenure track position as Assistant Professor in
Film Studies and Production, for appointment beginning August 15,
2022. Specialties could include, but are not limited to: 2D and 3D
animation, visual effects, compositing, and motion graphics for
visual media. We especially encourage candidates with interest in
global and/or transcultural media. Candidates must demonstrate
experience with or a commitment to diversity and inclusion.
Required qualifications include MFA in filmmaking or a related
discipline or an equivalent terminal degree; specialization in
animation, visual effects and motion graphics for visual media; a
record of, or potential for, excellent teaching at the
undergraduate level; and a significant record of creative activity
and exhibition in film and/or video. Fluency in historical,
aesthetic, and theoretical frameworks for film practice is
expected. Teaching responsibilities would include a range of
introductory, intermediate, and advanced film production classes;
upper level courses in animation, visual effects and motion
graphics for visual media and other areas of expertise; and the
filmmaking thesis capstone course. The teaching load is 3/2. The
candidate will also be expected to maintain an active record of
creative practice and exhibition, to contribute to the ongoing
development of the Film Studies and Production program, and to
provide service within the department, college, and university. MFA
or equivalent terminal degree in filmmaking or a related discipline
by August 15, 2022 for appointment at the rank of Assistant
Professor.
PI145392003
",Faculty Positions,Communications,Film & Video,,,,,,,,,,,
